idacr	leader	plad_id	archigos_id	startdate	enddate	startyear	endyear	adm0	adm1	adm2	country	continent	latitude	longitude	geoname	geo_precision	foreign_leader	ethnicity1	ethnicity2	ethnicity_geoepr1	ethnicity_geoepr2	ethnicitysource1	ethnicitysource2	ethnicity_precision	entry	exit	gender	yrborn	birthdate	uid	id_0	id_1	id_2	gid_0	gid_1	gid_2	edu_name	edu_r	birthplace_comment_external	ethnicity_comment_external
"ALB"	"Majko"	"ALB_1998_1"	"821abfdb-1e42-11e4-b4cd-db5882bf8def"	1998-10-02	1999-10-29	1998.0	1999.0	"Albania"	"Tiran��"	"Tiran��s"	"Albania"	"Europe"	41.3275	19.81889	"Tirana"	1	"0"	"Albanian"	"."	"Albanians"	"."	"https://en.wikipedia.org/wiki/Pandeli_Majko"	"https://www.sbs.com.au/yourlanguage/albanian/en/audiotrack/mr-pandeli-majko-his-first-visit-australia"	2	"Regular"	"Regular"	"M"	1967	1967-11-15	"112142"	"4"	"11"	"34"	"ALB"	"ALB.11_1"	"ALB.11.2_1"	"Degrees in engineering and law"	7	"."	"."
"ALB"	"Meta"	"ALB_1999_1"	"821abfdc-1e42-11e4-b4cd-db5882bf8def"	1999-10-29	2002-02-22	1999.0	2002.0	"Albania"	"Berat"	"Skraparit"	"Albania"	"Europe"	40.50417	20.22722	"��orovod��"	1	"0"	"Albanian"	"."	"Albanians"	"."	"https://www.rferl.org/a/albania-president-serbia/28877909.html"	"https://dod.defense.gov/News/Article/Article/1677428/albanian-president-discusses-security-euro-atlantic-integration-at-marshall-cen/"	2	"Regular"	"Regular"	"M"	1969		"116143"	"4"	"1"	"3"	"ALB"	"ALB.1_1"	"ALB.1.3_1"	"."	6	"."	"."
"ALB"	"Majko"	"ALB_2002_1"	"821abfdb-1e42-11e4-b4cd-db5882bf8def"	2002-02-22	2002-07-31	2002.0	2002.0	"Albania"	"Tiran��"	"Tiran��s"	"Albania"	"Europe"	41.3275	19.81889	"Tirana"	1	"0"	"Albanian"	"."	"Albanians"	"."	"https://en.wikipedia.org/wiki/Pandeli_Majko"	"https://www.sbs.com.au/yourlanguage/albanian/en/audiotrack/mr-pandeli-majko-his-first-visit-australia"	2	"Regular"	"Regular"	"M"	1967	1967-11-15	"112142"	"4"	"11"	"34"	"ALB"	"ALB.11_1"	"ALB.11.2_1"	"Degrees in engineering and law"	7	"."	"."
"ALB"	"Fatos Nano"	"ALB_2002_2"	"821abfda-1e42-11e4-b4cd-db5882bf8def"	2002-07-31	2005-09-11	2002.0	2005.0	"Albania"	"Tiran��"	"Tiran��s"	"Albania"	"Europe"	41.3275	19.81889	"Tirana"	1	"0"	"Albanian"	"."	"Albanians"	"."	"https://en.wikipedia.org/wiki/Fatos_Nano"	"https://www.thefamouspeople.com/profiles/fatos-nano-6872.php"	2	"Regular"	"Regular"	"M"	1952	1952-09-16	"112142"	"4"	"11"	"34"	"ALB"	"ALB.11_1"	"ALB.11.2_1"	"PhD in political economy"	8	"."	"."
"ALB"	"Berisha"	"ALB_2005_1"	"35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7"	2005-09-11	2013-09-15	2005.0	2013.0	"Albania"	"Kuk��s"	"Tropoj��s"	"Albania"	"Europe"	42.386944	20.175833	"Vi��idol"	1	"0"	"Albanian"	"."	"Albanians"	"."	"http://president.al/en/prof-dr-sali-berisha/"	"https://www.thefamouspeople.com/profiles/sali-berisha-6882.php"	2	"Regular"	"Regular"	"M"	1944	1944-10-15	"106502"	"4"	"8"	"25"	"ALB"	"ALB.8_1"	"ALB.8.3_1"	"PhD in medicine"	8	"."	"."
"ALB"	"Rama"	"ALB_2013_1"	"149e63e7-aae0-11e4-b3bc-29f2fa19767e"	2013-09-15	2023-12-31	2013.0	2023.0	"Albania"	"Tiran��"	"Tiran��s"	"Albania"	"Europe"	41.3275	19.81889	"Tirana"	1	"0"	"Albanian"	"."	"Albanians"	"."	"https://eeas.europa.eu/delegations/albania/56706/eu-commissioner-johannes-hahn-and-albanian-prime-minister-edi-rama-meet-tirana_en"	"https://en.wikipedia.org/wiki/Edi_Rama"	2	"Regular"	"Still in Office"	"M"	1964	1964-07-04	"112142"	"4"	"11"	"34"	"ALB"	"ALB.11_1"	"ALB.11.2_1"	"Degree in Arts from the Academy of Arts of Tirana"	6	"."	"."
"ALG"	"Benjedid"	"ALG_1979_1"	"823bf0a6-1e42-11e4-b4cd-db5882bf8def"	1979-02-07	1992-01-11	1979.0	1992.0	"Algeria"	"El Tarf"	"Bouteldja"	"Algeria"	"Africa"	36.78698	8.19767	"Bouteldja"	1	"0"	"Arab"	"."	"Arab"	"."	"https://algeria-watch.org/?p=4642"	"https://prabook.com/web/chadli.bendjedid/512308"	1	"Regular"	"Irregular"	"M"	1929	1929-04-14	"122911"	"5"	"19"	"573"	"DZA"	"DZA.19_1"	"DZA.19.9_1"	"."	3	"."	"."
"ALG"	"Boudiaf"	"ALG_1992_1"	"823bf0a7-1e42-11e4-b4cd-db5882bf8def"	1992-01-14	1992-06-29	1992.0	1992.0	"Algeria"	"M'Sila"	"M'Sila"	"Algeria"	"Africa"	35.7	4.55	"Commune de M'Sila"	1	"0"	"Arab"	"."	"Arab"	"."	"https://en.qantara.de/content/ethnic-conflict-in-algeria-a-struggle-for-power-and-recognition"	"https://www.youtube.com/watch?v=Qe1Fd5Ud6No"	1	"Irregular"	"Irregular"	"M"	1919	1919-06-23	"124027"	"5"	"26"	"737"	"DZA"	"DZA.26_1"	"DZA.26.23_1"	"Primary school education"	3	"."	"."
"ALG"	"Kafi"	"ALG_1992_2"	"823bf0a8-1e42-11e4-b4cd-db5882bf8def"	1992-07-02	1994-01-31	1992.0	1994.0	"Algeria"	"Skikda"	"El Harrouch"	"Algeria"	"Africa"	36.6531	6.8364	"El Harrouch"	2	"0"	"Arab"	"."	"Arab"	"."	"https://en.qantara.de/content/ethnic-conflict-in-algeria-a-struggle-for-power-and-recognition"	"."	3	"Regular"	"Regular"	"M"	1928		"123187"	"5"	"39"	"1208"	"DZA"	"DZA.39_1"	"DZA.39.18_1"	"."	3	"."	"."
"ALG"	"Zeroual"	"ALG_1994_1"	"823bf0a9-1e42-11e4-b4cd-db5882bf8def"	1994-01-31	1999-04-27	1994.0	1999.0	"Algeria"	"Batna"	"Batna"	"Algeria"	"Africa"	35.56	6.17	"Batna"	1	"0"	"Arab"	"."	"Arab"	"."	"https://en.qantara.de/content/ethnic-conflict-in-algeria-a-struggle-for-power-and-recognition"	"."	2	"Regular"	"Regular"	"M"	1941		"124242"	"5"	"6"	"155"	"DZA"	"DZA.6_1"	"DZA.6.7_1"	"."	5	"."	"."
"ALG"	"Bouteflika"	"ALG_1999_1"	"823bf0aa-1e42-11e4-b4cd-db5882bf8def"	1999-04-27	2019-04-02	1999.0	2019.0	"Morocco"	"Oriental"	"Oujda Angad"	"Algeria"	"Africa"	34.68288	-1.9108	"Oujda"	1	"1"	"Arab"	"."	"Arab"	"."	"https://en.qantara.de/content/ethnic-conflict-in-algeria-a-struggle-for-power-and-recognition"	"."	3	"Regular"	"Irregular"	"M"	1937	1937-03-02	"124993"	"152"	"10"	"33"	"MAR"	"MAR.10_1"	"MAR.10.5_1"	"."	5	"."	"."
"ALG"	"Abdelkader Bensalah"	"ALG_2019_1"	"."	2019-04-09	2019-12-19	2019.0	2019.0	"Algeria"	"Tlemcen"	"Fellaoucene"	"Algeria"	"Africa"	35.0351	-1.5991	"Fellaoucene"	1	"0"	"."	"."	"."	"."	"."	"."		"Regular"	"Regular"	"M"	1941	1941-11-24	"124728"	"5"	"48"	"1478"	"DZA"	"DZA.48_1"	"DZA.48.27_1"	"."		"."	"."
"ALG"	"Abdelmadjid Tebboune"	"ALG_2019_2"	"."	2019-12-19	2023-12-31	2019.0	2023.0	"Algeria"	"Na��ma"	"Mecheria"	"Algeria"	"Africa"	33.54453	-0.28117	"M��cheria"	1	"0"	"."	"."	"."	"."	"."	"."		"Regular"	"Still in Office"	"M"	1945	1945-11-17	"126600"	"5"	"31"	"944"	"DZA"	"DZA.31_1"	"DZA.31.8_1"	"Degree in economics and finance from national school for public administration"	6	"."	"."
"ANG"	"Dos Santos"	"ANG_1979_1"	"8233edb6-1e42-11e4-b4cd-db5882bf8def"	1979-09-10	2017-09-25	1979.0	2017.0	"Angola"	"Luanda"	"Sambizanga"	"Angola"	"Africa"	-8.77543	13.30098	"urban district Sambizanga of Luanda"	1	"0"	"Ambundu"	"."	"Mbundu-Mestico"	"."	"https://books.google.de/books?id=IBLqCgAAQBAJ&pg=PT143&lpg=PT143&dq=dos+santos+angola+Ambundu&source=bl&ots=jc5VWwsu4e&sig=ACfU3U0X1jcFd0yXmErFRlZXh_as9IG0cQ&hl=de&sa=X&ved=2ahUKEwiY6PDIqILjAhUIMuwKHZtWD0sQ6AEwC3oECAcQAQ#v=onepage&q=dos%20santos%20angola%20Ambundu&f=false  Tim Marshall Die MAcht der Geographie"	"http://countrystudies.us/angola/46.htm"	1	"Regular"	"Regular"	"M"	1942	1942-08-28	"169378"	"8"	"11"	"99"	"AGO"	"AGO.11_1"	"AGO.11.8_1"	"."	6	"."	"."
"ANG"	"Joao Lourenco"	"ANG_2017_1"	"."	2017-09-25	2023-12-31	2017.0	2023.0	"Angola"	"Benguela"	"Lobito"	"Angola"	"Africa"	-12.3644	13.53601	"Lobito"	1	"0"	"Ovimbundu"	"."	"Ovimbundu-Ovambo"	"."	"https://www.plataformamedia.com/en-uk/news/politics/joao-lourenco-anticipates-a-second-term-and-wants-more-of-portugal-in-angola-10231906.html"	"."	2	"Regular"	"Still in Office"	"M"	1954	1954-03-05	"170626"	"8"	"2"	"14"	"AGO"	"AGO.2_1"	"AGO.2.9_1"	"Master��s degree in historical sciences"	7	"."	"."
"ARG"	"Menem"	"ARG_1989_1"	"82046e88-1e42-11e4-b4cd-db5882bf8def"	1989-07-08	1999-12-10	1989.0	1999.0	"Argentina"	"La Rioja"	"Castro Barros"	"Argentina"	"Americas"	-28.80663	-66.94367	"Anillaco"	1	"0"	"Syrian"	"."	"."	"."	"https://www.britannica.com/biography/Carlos-Menem"	"https://www.telegraph.co.uk/news/worldnews/southamerica/argentina/11787717/Carlos-Menem-goes-on-trial-over-bombing-of-Buenos-Aires-Jewish-centre.html"	1	"Regular"	"Regular"	"M"	1930	1930-07-02	"28334"	"12"	"12"	"302"	"ARG"	"ARG.12_1"	"ARG.12.3_1"	"."	7	"."	"."
"ARG"	"de la Rua"	"ARG_1999_1"	"82046e89-1e42-11e4-b4cd-db5882bf8def"	1999-12-10	2001-12-21	1999.0	2001.0	"Argentina"	"C��rdoba"	"Capital"	"Argentina"	"Americas"	-31.4135	-64.18105	"C��rdoba"	1	"0"	"Italian"	"Spaniard"	"Whites/mestizos"	"Whites/mestizos"	"http://ethnicelebs.com/fernando-de-la-rua"	"."	2	"Regular"	"Regular"	"M"	1937	1937-09-15	"29091"	"12"	"6"	"186"	"ARG"	"ARG.6_1"	"ARG.6.2_1"	"."	8	"."	"."
"ARG"	"Ramon Puerta"	"ARG_2001_1"	"82046e8a-1e42-11e4-b4cd-db5882bf8def"	2001-12-21	2001-12-23	2001.0	2001.0	"Argentina"	"Misiones"	"Ap��stoles"	"Argentina"	"Americas"	-27.91421	-55.75355	"Ap��stoles"	1	"0"	"Spaniard"	"."	"Whites/mestizos"	"."	"https://www.buscabiografias.com/biografia/verDetalle/10556/Ramon%20Puerta"	"."	2	"Regular"	"Regular"	"M"	1951		"27928"	"12"	"14"	"336"	"ARG"	"ARG.14_1"	"ARG.14.1_1"	"."	6	"."	"."
"ARG"	"Adolfo Rodriguez Saa"	"ARG_2001_2"	"82049f5c-1e42-11e4-b4cd-db5882bf8def"	2001-12-23	2002-01-01	2001.0	2002.0	"Argentina"	"San Luis"	"La Capital"	"Argentina"	"Americas"	-33.29501	-66.33563	"San Lu��s"	1	"0"	"Spaniard"	"."	"Whites/mestizos"	"."	"https://en.wikipedia.org/wiki/Adolfo_Rodr%C3%ADguez_Sa%C3%A1"	"https://ethnicelebs.com/adolfo-rodriguez-saa"	2	"Regular"	"Regular"	"M"	1947		"29323"	"12"	"19"	"430"	"ARG"	"ARG.19_1"	"ARG.19.8_1"	"Degree in law"	7	"."	"."
"ARG"	"Eduardo Duhalde"	"ARG_2002_1"	"82049f5d-1e42-11e4-b4cd-db5882bf8def"	2002-01-02	2003-05-25	2002.0	2003.0	"Argentina"	"Buenos Aires"	"Lomas de Zamora"	"Argentina"	"Americas"	-34.75	-58.41667	"Lomas de Zamora"	1	"0"	"Spaniard"	"."	"Whites/mestizos"	"."	"http://ethnicelebs.com/eduardo-duhalde"	"https://ethnicelebs.com/eduardo-duhalde"	2	"Regular"	"Regular"	"M"	1941	1941-10-05	"29540"	"12"	"1"	"71"	"ARG"	"ARG.1_1"	"ARG.1.71_1"	"."	7	"."	"."
"ARG"	"Nestor Kirchner"	"ARG_2003_1"	"82049f5e-1e42-11e4-b4cd-db5882bf8def"	2003-05-25	2007-12-10	2003.0	2007.0	"Argentina"	"Santa Cruz"	"G��er Aike"	"Argentina"	"Americas"	-51.62261	-69.21813	"R��o Gallegos"	1	"0"	"Swiss-German, Croat"	"."	"Whites/mestizos"	"."	"https://ethnicelebs.com/nestor-kirchner"	"https://en.wikipedia.org/wiki/N%C3%A9stor_Kirchner"	2	"Regular"	"Regular"	"M"	1950		"29860"	"12"	"20"	"434"	"ARG"	"ARG.20_1"	"ARG.20.3_1"	"."	7	"."	"."
"ARG"	"Fernandez de Kirchner"	"ARG_2007_1"	"8250bb5e-1e42-11e4-b4cd-db5882bf8def"	2007-12-10	2015-12-10	2007.0	2015.0	"Argentina"	"Buenos Aires"	"La Plata"	"Argentina"	"Americas"	-34.88497	-57.9667	"Tolosa"	2	"0"	"Spaniard, German"	"."	"Whites/mestizos"	"."	"https://en.wikipedia.org/wiki/Cristina_Fern%C3%A1ndez_de_Kirchner"	"https://ethnicelebs.com/cristina-fernandez-de-kirchner"	2	"Regular"	"Regular"	"F"	1953	1953-02-19	"29560"	"12"	"1"	"63"	"ARG"	"ARG.1_1"	"ARG.1.63_1"	"."	7	"."	"."
"ARG"	"Mauricio Macri"	"ARG_2015_1"	"43f5aea2-de6a-11e5-ba44-bb6d7c1a9a58"	2015-12-10	2019-12-10	2015.0	2019.0	"Argentina"	"Buenos Aires"	"Tandil"	"Argentina"	"Americas"	-37.32167	-59.13316	"Tandil"	1	"0"	"Italian, Spaniard"	"."	"Whites/mestizos"	"."	"https://foreignpolicy.com/2018/05/18/mauricio-macri-was-supposed-to-be-different/"	"http://ethnicelebs.com/mauricio-macri"	1	"Regular"	"Regular"	"M"	1959	1959-02-08	"29671"	"12"	"1"	"115"	"ARG"	"ARG.1_1"	"ARG.1.115_1"	"Bachelor��s degree in engineering"	6	"."	"."
"ARG"	"Alberto Fernandez"	"ARG_2019_1"	"."	2019-12-10	2023-12-10	2019.0	2023.0	"Argentina"	"Ciudad de Buenos Aires"	"Distrito Federal"	"Argentina"	"Americas"	-34.61315	-58.37723	"Buenos Aires"	1	"0"	"."	"."	"."	"."	"."	"."		"Regular"	"Regular"	"M"	1959	1959-04-02	"29510"	"12"	"5"	"184"	"ARG"	"ARG.5_1"	"ARG.5.1_1"	"PhD in law"	8	"."	"."
"ARG"	"Javier Milei"	"ARG_2023_1"	"."	2023-12-10	2023-12-31	2023.0	2023.0	"Argentina"	"Ciudad de Buenos Aires"	"Distrito Federal"	"Argentina"	"Americas"	-34.57435	-58.42184	"Palermo"	1	"0"	"Italian"	"Italian, Croatian"	"Whites/mestizos"	"."	"https://www.britannica.com/biography/Javier-Milei"	"https://glashrvatske.hrt.hr/de/leute/die-kroatischen-wurzeln-des-neuen-prasidenten-argentiniens-11216262"	1	"Regular"	"Still in Office"	"M"	1970		"."	"."	"."	"."	"ARG"	"ARG.5_1"	"ARG.5.1_1"	"Two master's degrees in Economics"	7	"."	"."
"ARM"	"Ter-Petrosyan"	"ARM_1991_1"	"82235551-1e42-11e4-b4cd-db5882bf8def"	1991-10-16	1998-02-03	1991.0	1998.0	"Syria"	"Aleppo"	"Al Bab"	"Armenia"	"Asia"	36.25	37.61667	"Aleppo"	1	"1"	"Armenian"	"."	"Armenians"	"."	"http://www.armeniapedia.org/wiki/Levon_Ter-Petrosyan"	"."	3	"Regular"	"Regular"	"M"	1945		"123357"	"224"	"2"	"8"	"SYR"	"SYR.2_1"	"SYR.2.4_1"	"."	8	"."	"."
"ARM"	"Kocharian"	"ARM_1998_1"	"82235552-1e42-11e4-b4cd-db5882bf8def"	1998-02-04	2008-04-09	1998.0	2008.0	"Azerbaijan"	"Yukhari-Karabakh"	"Khankendi  (Nagorno-Karabakh)"	"Armenia"	"Asia"	39.8177	46.7528	"Stepanakert"	1	"1"	"Armenian"	"."	"Armenians"	"."	"https://www.wsj.com/articles/SB886719202525524000"	"."	2	"Regular"	"Regular"	"M"	1954	1954-08-31	"118165"	"17"	"10"	"73"	"AZE"	"AZE.10_1"	"AZE.10.4_1"	"."	6	"."	"."
"ARM"	"Sargsyan"	"ARM_2008_1"	"82530552-1e42-11e4-b4cd-db5882bf8def"	2008-04-09	2018-04-09	2008.0	2018.0	"Azerbaijan"	"Yukhari-Karabakh"	"Khankendi  (Nagorno-Karabakh)"	"Armenia"	"Asia"	39.8177	46.7528	"Stepanakert"	1	"1"	"Armenian"	"."	"Armenians"	"."	"."	"."	3	"Regular"	"Regular"	"M"	1954	1954-06-30	"118165"	"17"	"10"	"73"	"AZE"	"AZE.10_1"	"AZE.10.4_1"	"."	6	"."	"."
"ARM"	"Armen Sarkissian"	"ARM_2018_1"	"."	2018-04-09	2022-02-01	2018.0	2022.0	"Armenia"	"Erevan"	"."	"Armenia"	"Asia"	40.18111	44.51361	"Yerevan"	1	"0"	"."	"."	"."	"."	"."	"."		"Regular"	"Regular"	"M"	1953	1953-06-23	"117049"	"13"	"4"	"."	"ARM"	"ARM.4_1"	"."	"PhD in physics"	8	"."	"."
"ARM"	"Alen Roberti Simonyan��"	"ARM_2022_1"	"."	2022-02-01	2022-03-13	2022.0	2022.0	"Armenia"	"Erevan"	"."	"Armenia"	"Asia"	40.18	44.51	"Yerevan"	1	"0"	"Armenian"	"."	"Armenians"	"."	"https://en.wikipedia.org/wiki/Alen_Simonyan"	"."	3	"Regular"	"Regular"	"M"	1980	1980-01-05	"."	"."	"."	"."	"ARM"	"ARM.4_1"	"."	"Degree in law and Master's Degree in Political Science"	7	"."	"."
"ARM"	"Vahagn Khachaturyan"	"ARM_2022_2"	"."	2022-03-13	2023-12-31	2022.0	2023.0	"Armenia"	"Syunik"	"."	"Armenia"	"Asia"	39.52101	46.03581	"Sisian"	1	"0"	"Armenian"	"."	"Armenians"	"."	"https://en.wikipedia.org/wiki/Vahagn_Khachaturyan"	"."	3	"Regular"	"Still in Office"	"M"	1959	1959-04-22	"."	"."	"."	"."	"ARM"	"ARM.9_1"	"."	"Degree in economics"	6	"."	"."
"AUL"	"Hawke"	"AUL_1983_1"	"824e4085-1e42-11e4-b4cd-db5882bf8def"	1983-03-11	1991-12-19	1983.0	1991.0	"Australia"	"South Australia"	"Tatiara"	"Australia"	"Oceania"	-36.30768	140.77167	"Bordertown"	1	"0"	"."	"."	"."	"."	"."	"."		"Regular"	"Regular"	"M"	1929	1929-12-09	"338939"	"15"	"8"	"305"	"AUS"	"AUS.8_1"	"AUS.8.57_1"	"."	7	"."	"."
"AUL"	"Keating"	"AUL_1991_1"	"824e4086-1e42-11e4-b4cd-db5882bf8def"	1991-12-19	1996-03-11	1991.0	1996.0	"Australia"	"New South Wales"	"Sydney"	"Australia"	"Oceania"	-33.86785	151.20732	"Sydney"	1	"0"	"English-Irish"	"."	"Whites"	"."	"David Day (2015). Paul Keating: The Biography. Fourth Estate. pp.��3-12"	"."	2	"Regular"	"Regular"	"M"	1945	1945-01-18	"338829"	"15"	"5"	"126"	"AUS"	"AUS.5_1"	"AUS.5.122_1"	"."	3	"."	"."
"AUL"	"Howard"	"AUL_1996_1"	"824e715e-1e42-11e4-b4cd-db5882bf8def"	1996-03-11	2007-12-03	1996.0	2007.0	"Australia"	"New South Wales"	"Sydney"	"Australia"	"Oceania"	-33.86785	151.20732	"Sydney"	1	"0"	"British (\"English, Scottish, and Irish\")"	"."	"Whites"	"."	"https://en.wikipedia.org/wiki/John_Howard#Early_and_personal_life"	"Errington, Wayne; Van Onselen, Peter (2007), John Winston Howard: The Biography, Melbourne: Melbourne University Press, ISBN��978-0-522-85334-6"	2	"Regular"	"Regular"	"M"	1939	1939-07-26	"338829"	"15"	"5"	"126"	"AUS"	"AUS.5_1"	"AUS.5.122_1"	"."	6	"."	"."
